route_short_name,destination,stop_sequence_sched,median_speed,median_speed_79peak,stop_lat,stop_lon
61,Ruddammen,2,14.742857142857142,14.835925394548063,59.337521,18.007069
61,Ruddammen,3,19.053658536585367,18.826829268292684,59.336406,18.004054
61,Ruddammen,4,21.1629375,20.83735384615385,59.333143,18.002885
61,Ruddammen,5,17.929227272727275,17.532964563526363,59.330038,18.003617
61,Ruddammen,6,16.380000000000013,15.288000000000011,59.32959,18.00568
61,Ruddammen,7,22.339255813953482,20.88234782608695,59.328637,18.009976
61,Ruddammen,8,16.268400000000003,15.495119738751818,59.328387,18.014146
61,Ruddammen,9,18.009692307692298,18.009692307692298,59.328238,18.01603
61,Ruddammen,10,11.431200000000004,9.22297513013303,59.328171,18.020334
61,Ruddammen,11,14.134444444444439,13.51196595181729,59.331749,18.025424
61,Ruddammen,12,17.072357142857154,15.672983606557388,59.331993,18.030038
61,Ruddammen,13,15.340304347826097,14.331323505154646,59.329429,18.029973
61,Ruddammen,14,20.705647058823526,20.50655429864253,59.328632,18.034936
61,Ruddammen,15,16.874399999999987,16.070857142857133,59.328584,18.038959
61,Ruddammen,16,12.834367346938814,12.839715000000037,59.329323,18.040498
61,Ruddammen,17,16.560935064935038,15.457440493682014,59.330727,18.044127
61,Ruddammen,18,11.741142857142856,10.578653465346534,59.333282,18.045569
61,Ruddammen,19,22.1058556701031,20.421600000000005,59.337624,18.049705
61,Ruddammen,20,15.502040816326529,14.332075471698113,59.339319,18.04811
61,Ruddammen,21,16.219945945945938,16.787897887323936,59.34192,18.045464
61,Ruddammen,22,16.654368771526993,12.216432806324121,59.342948,18.048001
61,Ruddammen,23,19.153259606373013,12.818401678321681,59.344291,18.056672
61,Ruddammen,24,11.274857142857156,10.294434782608707,59.345509,18.061778
61,Ruddammen,25,17.19449999999996,15.407258064516093,59.346568,18.066111
61,Ruddammen,26,12.710205357142874,10.413956043956059,59.347949,18.065381
61,Ruddammen,27,17.19192857142859,17.19192857142859,59.349905,18.064409
61,Ruddammen,28,19.485957446808552,19.485957446808552,59.351928,18.063405
61,Ruddammen,29,31.30559999999987,42.142153846153676,59.352185,18.058694
