route_short_name,destination,stop_sequence_real,stop_lat,stop_lon
61,Hornsberg,1,59.352171,18.058928
61,Hornsberg,2,59.351849,18.063546
61,Hornsberg,3,59.349887,18.064317
61,Hornsberg,4,59.348822,18.064188
61,Hornsberg,5,59.346567,18.065625
61,Hornsberg,6,59.345139,18.059928
61,Hornsberg,7,59.343836,18.054827
61,Hornsberg,8,59.342516,18.049194
61,Hornsberg,9,59.341286,18.045989
61,Hornsberg,10,59.338674,18.048542
61,Hornsberg,11,59.332241,18.044909
61,Hornsberg,12,59.330951,18.044074
61,Hornsberg,13,59.329208,18.041828
61,Hornsberg,14,59.32875,18.037481
61,Hornsberg,15,59.329041,18.032422
61,Hornsberg,16,59.332101,18.02765
61,Hornsberg,17,59.331148,18.023381
61,Hornsberg,18,59.328308,18.020111
61,Hornsberg,19,59.328578,18.015051
61,Hornsberg,20,59.328644,18.012243
61,Hornsberg,21,59.329015,18.008549
61,Hornsberg,22,59.329548,18.006079
61,Hornsberg,23,59.330583,18.003085
61,Hornsberg,24,59.333213,18.003001
61,Hornsberg,25,59.336484,18.004281
61,Hornsberg,26,59.337646,18.007506
61,Hornsberg,27,59.339563,18.004969
